LABEL	TITLE	SPEAKER	CONTENTS	
1	14-Year-Old Congressional Whiz Kid Balances Budget	Congressman Earl Blumenauer 	"When I was 14 years old, all I was thinking about was having enough allowance money to buy comic books, but this little teen dynamo is actually trying to rein in annual spending and eliminate the deficit,  ""He comes in here every day in his little two-piece suit, with his snazzy haircut that it looks like his mom gave him, and you just have to admire the kid. Heck, he's still three years away from applying for college, for God's sake! I imagine he's not too popular with the other kids his age, but I'm sure he's used to that by now."" "	
1	Rich White People Get Latino Guy To Do Some Work For Them	Hispanic guy 	"This opportunity - to make it to the middle class or beyond no matter where you start out in life - it isn't bestowed on us from Washington,  ""It comes from a vibrant free economy where people can risk their own money to open a business. More government isn't going to create new opportunities. It's going to limit them."""	
1	Panicked Biden Interrupts State Of The Union To Ask If Erections Can Ever Be Medical Emergency	Vice President Joe Biden 	"huge honking woody that just won't quit,  ""Hey, Barry, sorry to interrupt your speech, man - but is 72 hours too long for a raging boner?"" ""I wasn't complaining for the first 36 hours - and neither was she- - but this monster is gonna rip my pants at the seams. It hurts, bud. I'm in pecker purgatory over here. Should we call somebody?"""	
1	State Of The Union Preceded By Memoriam Reel Of Americans Lost In Past Year	House Speaker John Boehner 	"It was a fitting tribute to all those who were sadly taken away from us far too soon,  ""We will certainly never forget their many contributions to our nation."" "	
1	"Expansive Obama State Of The Union Speech To Touch On Patent Law, Entomology, The Films Of Robert Altman"	White House aide Louis Fererra 	"This is a crucial speech for the president, and that is exactly why he will use this as an opportunity to thoroughly address Edward Said's theory of Orientalism while also discussing the often complex taxonomic specialization involved with various subspecies of moths and butterflies,   ""While we know that some may disagree on the President's views on franchising trends, Latina rites of passage, the pickling and preservation of foraged vegetables, taxes, and the Adventures of Tintin book series, we believe now is the time for our nation to begin seriously discussing these subjects."""	
1	American Citizens Split On DOJ Memo Authorizing Government To Kill Them	"39-year-old Nashua, NH resident Rebecca Sawyer "	"On the one hand, I get it - it's important for the government to be able to murder me and any of my friends or family members whenever they please for reputed national security reasons. But on the other hand, it would kind of be nice to stay alive and have, maybe, a trial, actual evidence - stuff like that,  ""I wouldn't mind if federal officials blew up other citizens and claimed it was in the name of my safety. But it's just that when it comes to me, I guess I'd rather not be slaughtered by my own elected officials on charges that never have to be validated by any accountable authority. This is tough.""   "	
1	Obama Blanks On What He's Ineffectually Urging Congress To Take Action On Now	President Barack Obama 	"It is vitally important that our nation's lawmakers do the job that they were elected to do, and make it a top priority to, uh, to?well, hmm, ""It's a, um, very important issue, I know that. Uh. Jeez."" "	
1	List Of Politically Achievable Reforms Down To Just Three Minor Changes To Traffic Code	Report from the Pew Research Center 	"Reinstating a federal speed limit, provided it is not overly restrictive, could plausibly reach the required number of aye votes in the House and, with some arm-twisting in the Senate, could feasibly make it to President Obama's desk,    ""And it's within the realm of possibility that Obama could lead a successful crusade to make right turn on red a nationwide policy, and maybe even strengthen turn signal requirements, barring a filibuster. However, any reform concerning U-turns is completely out of the question. It's just too sensitive, politically speaking."" "	
1	"Romney Makes Desperate, Last-Ditch Bid For Presidency"	Republican candidate Mitt Romney 	"My fellow Americans, I come to you at this late hour to plead with you to reconsider my candidacy for president of this great nation, ""Please, if you'll just give me a second chance - Wait! No! Get your hands off me! IdosolemnlyswearthatIwillfaithfn - "" "	
1	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	spectator Andrew Meyers 	"When Obama was being sworn in on the Capitol steps, we could hear the drones screeching by overhead and everyone got really excited,  ""They go by super fast, but luckily there are Jumbotrons all over the National Mall, so nobody missed out. Wait, they're coming back!"" "	
1	Silvio Berlusconi Swears Dancer Was Of Legal Age When He Paid Her For Sex Using State Money	Silvio Berlusconi 	"Let me swear to you that these brazenly misappropriated state funds went toward financing my long-running sexual liaison with a call girl who was of full legal age throughout our affair,  ""Despite what my critics say, this sexual relationship made possible through considerable taxpayer financing was something that occurred between two consenting adults. This has been the case with every single one of my government-subsidized affairs, and the people of Italy know that."" "	
1	"Boehner Just Wants Wife To Listen, Not Come Up With Alternative Debt-Reduction Ideas"	House Speaker John Boehner 	"Hey, honey, would you please stop throwing in your own ideas and just listen to what I'm saying, okay? I know what I'm doing here,  ""Don't you think I would have thought of lowering marginal tax rates? If you just let me talk for two seconds - Debbie? Debbie, please!  - if you just let me finish, you'll see that I already considered lower marginal tax rates as well as raising the rates of capital gains and dividends, and it doesn't work. The revenue doesn't add up, and - see, I'm trying to explain it to you, but you won't listen."" "	
1	"Congressman Torn Between Meaningless Pledge To Anti-Tax Zealot, Well-Being Of Nation"	Rep. Tom Reed 	"On the one hand, you have a nonsensical promise to blindly oppose tax increases regardless of circumstances, but on the other, you have the well-being of more than 300 million people and the long-term stability of the entire U.S. economy,  ""At the end of the day, it's a question of whether a nonbinding signature on an outdated and worthless pledge written 26 years ago is more important than preventing the nation from completely going to hell. I just don't know what to do here."" "	
1	Romney Spends Day Tearfully Apologizing At Father's Grave	former Republican presidential candidate Mitt Romney  	"All I ever wanted to do was please you, and I failed. I am so, so sorry,  ""I tried as hard as I could. Honestly, Dad, I did. Can you ever forgive me?"" "	
1	Obama Vows To Split ISIS Into Dozens Of Extremist Splinter Groups	President Obama 	"ISIS poses a significant threat to U.S. interests both overseas and at home, and that is why we are committed to a limited military engagement that will fracture the terrorist network's leadership and consequently create a myriad of smaller cells, each with its own violent, radical agenda, ""I have already discussed this plan with congressional leaders, and I have no doubt that our efforts will eventually replace this militant organization with many smaller but equally determined groups bent on using extreme brutality to impose fundamentalist Islamic rule. It will not happen overnight, but I can assure the American public that, in time, this group will be defeated, allowing us to focus our attention on the countless threats to homeland security posed by its many immediate successors."""	
1	CNN's John King Now Just Swiping Hands Across Everything	CNN chief national correspondent John King 	"Let's see what's going on over here, ""Let's try to expand that out, explore this area a little more. Things are looking good for the president here.""  "	
1	Todd Akin Spends Whole Night Wondering What Went Wrong	Rep. Todd Akin 	"I don't know what happened. I was polling really well until late August, but then it all just kind of unraveled, ""I just keep replaying those weeks and months over and over in my head, searching for something, anything, that I could have said or done differently, and absolutely nothing comes to mind. Maybe it was my views on tax reform that did me in. I don't know."""	
1	Nation's Women Wake Up Relieved To Find Selves Still In 2012	31-year-old Lauren Mercer 	"I was worried I would open my eyes and it would be 1954, ""The first thing I did was look at the newspaper and turn on the news, and thankfully I could tell by what I read and heard that it was still the 21st century.""    "	
1	Moments Leading Up To Romney's Concession Most Likely Hilarious	Ohio resident Bret Foss  	"I'm not trying to be mean or anything, but it's kind of funny to imagine a 65-year-old man watching television, desperately hoping for something to go his way, learning it's not going to happen, and then just sitting there face forward while the rest of the room goes silent around him,  ""Maybe it's because the stakes were so high, but something about Mitt Romney hurriedly cobbling together a concession speech with one of his writers and then standing backstage all by himself as he waits for his cue to go on really cracks me up.""  "	
1	"Lives Of Mitch McConnell, John Boehner, Eric Cantor Retain Meaning"	Republican Mitch McConnell  	"Had Barack Obama lost his occupation, then we too would have lost ours  ""Tomorrow, I will go to the Capitol building and immediately say that Republicans are unable to work with the president if he wants to raise taxes on the wealthy. That's a life worth living. That's a life where I feel like I'm actually contributing something to society."" "	
1	"Obama, Romney Remain About Equally Powerful"	Northwestern University professor Julia C. Perlman 	"Thanks to his reelection, Obama has managed to stay on equal footing with Romney in terms of overall clout,   ""Obama remains commander in chief of the most powerful military in history, while Romney, whose income places him among the richest 0.01 percent of Americans, will have far more control over the world's largest economy. And though Obama still holds veto power, Romney's massive wealth ultimately makes it much easier for him to push legislation through Congress in the first place. So they have roughly the same amount of influence.""  "	
1	"'I Want To Congratulate The President,' Romney Says In 240,000th And Final Lie Of Campaign"	Republican presidential nominee Mitt Romney 	"This has been a hard-fought and closely contested campaign, and while we've had our share of disagreements, there has always been a great deal of respect and admiration between myself and the president,   ""Tonight, the American people made their voices heard. And now I urge every one of my supporters to set aside their differences with my opponent and join me in standing behind our president, so that we all may come together in a spirit of understanding and cooperation to build a better America."" "	
1	Romney Volunteers Going Door-To-Door To Let Obama Supporters Know President's Dead	Romney supporter Marcia Higgins 	"This is very difficult to say, but yeah, Barack Obama actually died early this morning, so he's not running for president anymore, ""You didn't hear? Oh, yeah, it was totally sudden. Heart attack or something. Crazy. But anyway, I just wanted to let you know that Barack Obama, the man you were planning on voting for, has passed away, and Mitt Romney is still alive, so..."" "	
1	Romney Throws Quincea?era For Ann In Last-Minute Attempt To Get Hispanic Vote	Republican presidential candidate Mitt Romney 	"Today, Ann became a woman, ""From the cutting of the cake, to the 15-candle ceremony, to the changing of the shoes that symbolized her changing from girlhood to womanhood, this was Ann's very own special day. We are all so proud of her."""	
1	Obama To Assure Nation That ISIS Campaign Will Be Drawn-Out Ordeal They're Used To	senior White House advisor Daniel Pfeiffer 	"The president recognizes that citizens may be uneasy about this operation, and that's why he will use tonight's speech to comfort the American public by reminding them that they have been through armed engagements without clear end dates or even concrete objectives plenty of times before, and that this case is no different, ""The president's message is clear: This will be just another one of our routine intractable engagements in the region - it's going to be unending, it's going to be expensive, and it's going to affect our credibility within the international community. There will not be any surprises for folks to worry about."""	
1	Nation Unsure Which Candidate's Plan To Destroy The Environment Will Create More Jobs	Denver voter Lynn Russell 	"On one hand, President Obama has proved his commitment to creating jobs that will poison the entire American Northeast with toxic fracking chemicals, but on the other hand, Mitt Romney, with his pledge to intensify oil exploration offshore and in our nation's protected wilderness, seems genuinely determined to put millions to work contaminating the oceans, exterminating scores of species, and inevitably accelerating a planetary cataclysm, ""The candidates have so many comprehensive ideas for ensuring that our overheating planet - as well as human society in general - is pushed well beyond the point of no return, but it's impossible to tell which one will go slightly farther in reducing unemployment."" "	
1	Serious Mitt Romney Demanding To Be Addressed As 'Mitthew' Now 	Mitt Romney 	"Before we go on, I need to stop and correct you on one thing - it's Mitthew, okay?  ""My name is Mitthew. It always has been. Apparently people think it's okay to be informal and call me Mitt for short, but I've never liked that particular nickname and would appreciate it if everyone would just use the name my parents gave me: Mitthew."" "	
1	Romney Promises Any Pennsylvanian Who Votes For Him Can Have Ann Romney For One Hour	Republican candidate Mitt Romney 	"One vote for me gets you 60 minutes alone with Ann to do whatever you want, no questions asked, ""She is a very beautiful woman, and very discreet, so trust me, you won't be disappointed. This is a solid offer I'm making you."" "	
1	Nation's Lower Class Still Waiting For First Mention By Either Presidential Candidate	"Spillville, IA resident Martin Huskins "	"I've heard a lot about how the middle class is vital to the economy and how the upper class may not be paying their fair share, so I'm hoping that, at some point, there's at least one remark from Romney or Obama on the plight of the lower class,  ""Just a word or two would go a long way. Even if the campaigns talk about us in a manipulative or patronizing way - that'd be okay, so long as there's an actual acknowledgment of the millions upon millions of Americans in my situation. Because it seems like a pretty big problem, right?"" "	
1	Increased Negative Campaigning Reveals Previously Hidden Ugly Side Of Politics	"Omaha resident and mother of four Melanie Jenkins,  "	"Like all of us, I believed our elected representatives considered themselves honor-bound to present public policy matters to the American people in as clear and truthful a manner as possible,  ""But now it appears something sinister is afoot in our civic discourse. How long has this deliberate manipulation of voters been going on right under our noses?""  "	
1	"'Mother Mary Was Essentially Raped,' Mourdock Says While Digging Self Into Deeper Hole"	Republican Senate candidate Richard Mourdock 	"Mary certainly didn't ask for God to impregnate her with our Lord and Savior Jesus Christ, but obviously the Immaculate Conception, while not the result of a consensual act, was still a part of God's plan - you see what I'm getting at, right?   ""Of course I don't condone sexual assault. I'm just saying that sometimes when a woman is violated and impregnated against her will, it's actually a really good thing in the end, because God's rape of Mary gave us Jesus, and Jesus saved mankind from sin. So that's one example right there."" "	
1	"Romney Delivers Stern Warning To China, Speaking Directly Into The Camera In Fluent Mandarin"	Republican nominee Mitt Romney 	"As president, I will crack down on China, and I'd like to make one thing clear to President Hu [Jintao] right now, "	
1	"Mayor Hits On Crazy Idea Of Developing City's Waterfront, Green Spaces"	mayor Joe Sinnott 	"I recognize this probably sounds insane, but I've got this strange feeling there might be some sort of upside to converting our unused and blighted lakefront into a family- and business-friendly hub of the community, ""But wait, it gets crazier: What if we also took some of the nearby vacant lots and - hold on to your hats, guys - turned them into public parks? With dog runs? Sounds bonkers, right? But I think it just might work."""	
1	Romney Pledges To Replace All Foreign Policy With Jobs Right Here In America	Republican candidate Mitt Romney 	"You see, we have all these diplomatic relationships with countries in Europe and Asia; my plan is to take all of that and convert it into more than 500,000 manufacturing jobs for out-of-work folks right here in Florida and across the nation,   ""Meanwhile, President Obama plans to keep foreign policy. He doesn't understand that you can get rid of the diplomatic philosophy of a nation - all these doctrines that guide its interactions with state and nonstate actors - and reinvest it in America's small businesses. That's what grows the economy - not foreign policy."""	
1	Everyone In Town Hall Debate Audience Has Spouse Who Lost Health Insurance And Is Dying Of Cancer	an audience member 	"My name is Marjorie Cochran, and my husband Robert was diagnosed with stage IV lymphoma just days after being dropped by his HMO,  ""My question to you is, how can I afford the life-saving procedures and medication my husband needs, considering I'm just barely able to keep my small business afloat in this terrible economic climate? Thank you."" "	
1	Koch Brothers Encouraging Youth To Make Voices Heard By Registering Super PAC	Industries executives Charles Koch 	"Today's political decisions will have an enormous impact on all young Americans, which is why we hope you'll participate in the democratic process this election by filling out Federal Election Commission Form 1 identifying yourselves as a 501(c)(4), ""We don't care if you spend your slush fund on attack ads, opposition research, push polling, or anything else - we just want you, the young people of America, to be involved. Managing a mostly unregulated war chest and concealing your strictly prohibited coordination with the candidate of your choice takes very little of your time. So please, don't sit on the sidelines this November."""	
1	Savvy Man Registers 'Sleepy Romney' Twitter Account Just In Case Candidate Looks Tired	local man Pete Sidell 	"If he yawns even for a second, or rubs his eyes a bunch, this thing is gonna blow up, ""I could do a screen-cap of him looking sleepy and make that the avatar. And then tweet funny phrases like 'Paul R-Yawn.' People will retweet it and it will become a meme and I'll get a ton of followers."" "	
1	Lyndon Johnson Pulls Ahead In Poll Of Nation's Alzheimer's Patients	poll respondent Marjorie Halter 	"I think Johnson and [Halter's son] Doug will make a really strong team.  ""I'm voting for Lyndon Johnson this year,"""	
1	Biden Shares 20-Minute Post-Debate Kiss With Janna Ryan	Debate moderator Martha Raddatz 	"Janna rushed past her husband and into Biden's arms. He grabbed her and plunged his tongue deep into her mouth, and then they started going at it like crazy,   ""When the vice president began nibbling on her ears and fondling her breasts, Mrs. Ryan stuck her tongue straight out of her mouth and Biden just started licking all around it. She was literally shaking."" "	
1	Ryan Chugs Down Rhino Horn And Bull Semen Shake For Mid-Debate Boost	Republican nominee Paul Ryan 	"You know, a lot of people never really learn how to feed themselves properly, and that's a shame. A smoothie like this one helps maximize endurance, shred fat, and fuel your body through an intense workout. It's a no-brainer, really. "	
1	Biden Unleashes Torrent Of Vomit On Debate Stage	Vice President Joe Biden 	"Phew! Sorry, folks, just needed to shoot that out of the system. Guess those pancakes didn't soak up the tequila as well as I thought. Feel great now, though. ""painted the floor like that in at least a month."" "	
1	Ryan Handed Romney's Latest Political Positions Before Walking On Stage	Rep. Paul Ryan 	"So our agenda no longer includes legislation that would restrict women's access to abortion, though we do support using an executive order to prohibit federally funded international nonprofits from providing abortion in other countries - got it. Do we still believe health insurance providers should have the right to deny contraceptive coverage? Hold on a sec, "	
1	Biden's Handlers Suggesting He Forget The Words 'Pink' And 'Stink' Altogether	adviser Mike Donilon  	"You know what, given the context of this particular debate and everything, I think maybe it's best to avoid using the words ?pink' or ?stink' at all, and certainly never in the same sentence, ""This is a very important night for us, Joe, and if you could try to stay on message as much as possible that would be, you know, ideal. Also, don't do that thing where you smell your finger."" "	
1	Eclipse Comes Just In Time To Save John Kerry From Tribe Of Island Cannibals	Secretary of State John Kerry 	"See what you've done? I bring the darkness! I command the sun! I am a very powerful man! ""You cannot kill me, for I am a god! Release me now, and perhaps I will restore the light I have taken from you!"""	
1	Congress Repairs To Parlor To Hear Rep. Carolyn Maloney Play The Recorder	House Majority Leader Eric Cantor (R-VA) 	"Carolyn, please be a dear and bring out your recorder, ""There's a good girl! I find a little music helps settle the soul after a long, hard day. Now, Carolyn, play that delightful little tune you've been practicing and show everyone what you've learned - ah, good! Good!""  "	
1	Romney: 'This Is Why They Call Me Turnaround Mitty From Comeback City'	GOP presidential nominee Mitt Romney 	"Since as far back as I can remember, folks have been calling me Turnaround Mitty from Comeback City, and just like in Detroit, Massachusetts, and Salt Lake, Turnaround Mitty from Comeback City has pulled through,  ""There were many who doubted me, but everyone on the Nitty-Gritty Mitty Committee knew that Turnaround Mitty from Comeback City would one day be sitting pretty."""	
1	Michael Dukakis Wakes Up Not Angry For First Time Since 1988 Election	former Democratic presidential nominee Michael Dukakis  	"Wow, I actually feel pretty good, ""I'm not even thinking about that Willie Horton ad. Or the stupid advisers who convinced me to put on that helmet and get in the tank. That goddamn tank. And hey, I'm not even getting angry about that fucking Yale graduate George fucking Bush accusing me of Ivy League elitism. You know what? I just might go for a jog this morning. I just might do it."" "	
1	"Romney Dominated Debate, Say Pundits Trying To Figure Out GOP Candidate's Policies"	 NBC News correspondent Chuck Todd 	"Mitt Romney was very strong up there, and there's no doubt he made an effective, compelling case to the nation's undecided voters,   ""Romney came across as very presidential tonight. If he can ride this momentum for the rest of the campaign, he has a real shot at taking the White House ."" "	
1	Nation's Debate Viewers Disgusted With Selves After Connecting With Mitt Romney	"Pennsylvania resident Tom Gorelick, "	"Oh my god, I'm pretty sure I liked him. Like, on a personal level, I connected with Mitt Romney. Mitt Romney , ""Am I somebody who is going to vote for Mitt Romney now? Did I just ask that question out loud? I feel gross."""	
1	Sasha Obama Asks Father Why He Was Acting Like Such A Pussy During Debate	President Barack Obama 's 11-year-old daughter Sasha  	"acting like such a goddamned pussy up there. ""Daddy, how come you were being such a little bitch?""  ""What happened, Dad? Were you on your period or something? Maybe the next time you're in front of the entire country for an hour and a half you should try not letting another man spank you on the ass like that."" ""look for [his] dick, because apparently it's gone missing."" "	
1	Mitt Romney Jots Down Ideas For Concession Speech While Obama Talks	Republican nominee Mitt Romney 	"It's been a long journey, never stop fighting, etc., deeply grateful to all of those who stood by me and fought with me (fill in later),  ""Maybe close with something about standing by the president even if I don't agree with all his policies, he cares about America as much as I do - too clich?? Run it by Matt. Blue shirt, red tie."""	
1	Panicking Romney Attempts To Lay Off Debate Moderator	Mitt Romney  	"Well, uh, tax loopholes must be closed, and as you know, um, there are many underperforming programs, and, boy - Jim, we need to have a talk,  ""make adjustments to our outlook and staffing."" ""Given our business model going forward, it no longer makes sense for this debate to continue. We appreciate all you've contributed, and let me assure you this in no way reflects on your personal performance. But we're moving in a new direction and I'm afraid we're going to have to let you go."" "	
1	"Millions Of Excited Americans Gather To Watch Candidates Deliver Series Of Short, Elaborately Rehearsed Speeches"	"34-year-old Suffolk, VA resident Shannon Donnelly "	"I can't wait to hear what Obama and Romney have already practiced saying hundreds upon hundreds of times over the past few weeks in front of political strategists, media professionals, and image consultants, s""After months of campaign sound bites, we finally get to hear one candidate recite a carefully vetted position before pausing and allowing the other candidate to do the same. I am very much looking forward to one of them rebutting something the other says with a response that is painstakingly calculated down to even the slightest pause between words."" "	
1	Obama Has Colorado Appraised	President Barack Obama 	"Colorado has a lot of great things going for it in terms of spaciousness and its convenient central location, so I figured I'd have it checked out by experts just to get an estimate, ""I'll admit there's a little bit of crime and some recent fire damage that might lower the value a little, but overall, I think we'll find the state's in very good shape and a valuable asset to the American people."""	
1	Biden Implores Obama To 'Rub One Out' Before Debate	Vice President Joe Biden 	"get pussy off the mind  ""Look, Barry, you need to keep your head in the game up there, and you sure as shit can't focus if you've got a full load flaring up inside you,"" ""Jill [Biden], or whoever pops into your head while you're polishing the ol' Capitol dome."" ""Hell, I must've yanked the crank a good eight or nine times before my debate with Sarah Palin back in '08 ... and a few times after, too, if you catch my drift."" "	
1	Crowd Outside White House Hoping To Catch Glimpse Of President Naked	tourist Ted Hamill 	"While I'm here, it'd be really nice to just get a quick peek of the president, maybe changing in the master bedroom or coming out of the shower, ""Even if he's not completely naked, it'd be cool just to get a decent look at Obama in his undershirt and boxers. Or maybe he'll have a towel wrapped around his waist and nothing else. That would be a really great Washington D.C. memory for my whole family."""	
1	Michelle Obama Can Still Hear Their Little Labored Breaths When She Closes Her Eyes	First Lady Michelle Obama 	"The huffing and puffing - I just can't escape it, ""It starts off slow, but then it gets faster and faster, louder and louder. Each night brings the endless pitter-patter of them running flat-footed across the gymnasium floor and then struggling to catch their breath. Oh, God, I can even hear them now."""	
